CCPO,Count
CCPO12,5
CCPO46,5
CCPO24,2
CCPO11,22
CCPO22,18
CCPO26,23
CCPO19,7
CCPO205,20
CCPO56,2
CCPO106,19
CCPO16,17
CCPO12,5
CCPO46,5
CCPO24,2
CCPO11,22
CCPO22,18
CCPO26,23
CCPO19,7
CCPO205,20
CCPO56,2
CCPO106,19
CCPO16,17
CCPO12,10
CCPO46,7
CCPO11,27
CCPO22,25
CCPO9,1
CCPO48,1
CCPO26,28
